id,nombre,horasTrabajadas,sueldo
1,Lou,120,10000
2,Ulrike,180,25000
3,Brade,325,20000
4,Kimbell,120,50000
5,Sheelagh,220,18000
6,Gayle,120,30000
7,Kimberlee,60,33000
8,Henrieta,90,30000
9,Jeanine,325,18000
10,Aggie,75,15000
11,Brandea,180,15000
12,Cordelie,325,50000
13,Shel,120,50000
14,Bronnie,60,20000
15,Megen,180,10000
16,Iver,90,12000
17,Ernesta,60,37000
18,Cirillo,88,50000
19,Park,120,30000
20,Bellanca,88,15000
21,Bobbye,180,15000
22,Eugene,88,50000
23,Johnny,325,33000
24,Reagen,90,42000
25,Braden,180,25000
26,Karim,75,25000
27,Anthea,90,42000
28,Doro,120,33000
29,Gaye,120,37000
30,Toby,180,15000
31,Franny,325,15000
32,Katey,180,42000
33,Earle,90,10000
34,Redd,88,42000
35,Jehanna,220,50000
36,Cristie,180,10000
37,Stefa,88,42000
38,Roda,90,25000
39,Alfredo,88,10000
40,Sydney,75,10000
41,Brnaba,180,30000
42,Ame,88,50000
43,Bradney,88,25000
44,Margarete,120,50000
45,Nikoletta,120,50000
46,Lonnard,75,50000
47,Raine,180,30000
48,Noella,120,15000
49,Dagmar,88,25000
50,Carroll,220,42000
51,Marion,88,50000
52,Carline,220,12000
53,Hyacinthie,75,15000
54,Julina,120,33000
55,Corina,220,37000
56,Bernardine,75,33000
57,Homer,180,18000
58,Lianna,220,12000
59,Celene,120,50000
60,Kori,90,50000
61,Deeyn,88,20000
62,Marysa,75,20000
63,Loy,120,15000
64,Gabbey,120,37000
65,Star,90,33000
66,Dominica,120,33000
67,Blanch,75,15000
68,Cristobal,120,15000
69,Paulita,120,50000
70,Sayre,180,33000
71,Shaughn,90,15000
72,Katrine,90,25000
73,Cristi,88,42000
74,Cristie,90,25000
75,Solomon,90,10000
76,Nananne,120,33000
77,Sacha,90,25000
78,Morse,180,25000
79,Roland,180,25000
80,Jesselyn,180,30000
81,Kylila,325,12000
82,Kendre,180,25000
83,Lesya,90,15000
84,Tatiania,120,20000
85,Trenton,88,12000
86,Angie,90,20000
87,Joelle,90,37000
88,George,60,30000
89,Guenevere,90,30000
90,Margaretha,75,10000
91,Sully,60,15000
92,Lonni,220,50000
93,Nicky,180,42000
94,My,90,18000
95,Kyrstin,90,37000
96,Martino,75,15000
97,Marcellus,88,50000
98,Jacquelin,120,30000
99,Aleda,90,50000
100,Georgeta,88,10000
101,Marcille,88,10000
102,Ertha,88,10000
103,Desiri,120,25000
104,Geneva,90,33000
105,Kilian,120,42000
106,Nance,75,10000
107,Gaven,180,10000
108,Carlie,220,10000
109,Trixie,325,42000
110,Dominick,75,30000
111,Petey,120,15000
112,Tersina,75,30000
113,Johnathon,90,15000
114,Freddie,180,12000
115,Harmon,220,50000
116,Tracey,75,20000
117,Cherrita,180,33000
118,Stu,60,12000
119,Glenda,220,37000
120,Lorettalorna,220,25000
121,Patrizio,60,15000
122,Linda,88,30000
123,Pippa,325,20000
124,Pen,60,18000
125,Esteban,88,15000
126,Fonzie,325,15000
127,Cindelyn,60,12000
128,Zacharie,75,30000
129,Vina,88,42000
130,Omero,75,10000
